purchase_id,fiscal_year,org_code,organization,project_name,season,production_category,banner_account_code,request_type,is_credit_card,requisition_number,reference_number,po_number,invoice_number,vendor_name,title,procurement_status,budget_status,estimated_amount,requested_amount,encumbered_amount,pending_cc_amount,posted_amount,ordered_on,received_on,paid_on,notes,reporting_budget_code,reporting_line
e81f49ad-6063-4f72-9533-5fee8e00002f,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,expense,TRUE,null,null,null,null,null,November Scenic Purchases,statement_paid,pending_cc,120,0,0,115.31,0,null,null,null,null,11300,Scenic
6d194fe2-c60e-4ddb-bc5e-a6d73ef75048,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Scenic,11300,expense,TRUE,null,null,null,null,null,Black Paint,statement_paid,pending_cc,150,0,0,140.88,0,null,null,null,null,11300,Scenic
0066e3a6-de58-4494-8087-e9bc1f505f78,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Lighting,11301,requisition,FALSE,R0018079,R0018079,EP017560,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018079,paid,posted,96.07,0,0,0,96.07,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11301",11301,Lighting
4e68eef7-4281-42a4-9622-f2f86bcc5109,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Lighting,11301,expense,TRUE,null,null,null,null,null,November Lighting,statement_paid,pending_cc,50,50,0,50,0,null,null,null,null,11301,Lighting
b6483df9-a6d6-49ea-a413-c7d4806b9b59,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Sound,11302,requisition,FALSE,R0018128,R0018128,EP017591,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018128,paid,posted,59.99,0,0,0,59.99,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11302",11302,Sound
41b2dc4a-d68c-400d-9511-9581bc817160,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Sound,11302,requisition,FALSE,R0018233,R0018233,EP017693,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018233,paid,posted,28.96,0,0,0,28.96,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11302",11302,Sound
949dcb65-af15-47ee-8d32-206005a8884c,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Sound,11302,requisition,FALSE,R0018257,R0018257,EP017726,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018257,paid,posted,1499.98,0,0,0,1499.98,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11302",11302,Sound
a510cb7c-7ef3-42e0-9cdd-319f1d668b6d,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Sound,11302,requisition,FALSE,R0018401,R0018401,EP017852,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018401,paid,posted,347.33,0,0,0,347.33,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11302",11302,Sound
d44c854a-6c8d-4abc-8f30-9cabe1eb4c13,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Sound,11302,requisition,FALSE,R0018402,R0018402,EP017855,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0018402",paid,posted,83.46,0,0,0,83.46,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11302",11302,Sound
f20eb1a3-6dc7-4cfe-9428-381a7081d59d,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Sound,11302,requisition,FALSE,R0018785,R0018785,EP018236,null,B & H Foto & Electronics Corp.,B & H Foto & Electronics Corp. - R0018785,invoice_received,encumbered,112.48,0,112.48,0,0,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11302",11302,Sound
21317beb-11d6-434d-afef-7445286bd269,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Props,11304,requisition,FALSE,R0017581,R0017581,EP017120,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0017581",paid,posted,41.13,0,0,0,41.13,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11304",11304,Props
f6f57512-4eef-48c9-869e-f5ffffee4c66,FY26,2AC230,Theatre Department,Rumors,Fall 2025,Props,11304,requisition,FALSE,R0018078,R0018078,EP017562,null,"Amazon Business, Inc.","Amazon Business, Inc. - R0018078",paid,posted,33.03,0,0,0,33.03,null,null,null,"Imported from SienaWorks CSV. Org=2AC230, Account=11304",11304,Props
