FISCAL_YEAR,ORGN_CODE,FUND_CODE,ACCT_CODE,ACCOUNT_NAME,PROG_CODE,FIELD_DES,TRANS_AMT,DR_CR_IND,RUCL_CODE,DOC_CODE,TRANS_DATE,ACTIVITY_DATE,TRANS_DESC,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,20.92,+,INEI,I0535590,11/14/25 11:40,11/16/25 5:15,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,209.94,+,INEI,I0535590,11/14/25 11:40,11/16/25 5:15,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,97.5,+,INEI,I0535590,11/14/25 11:40,11/16/25 5:15,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,292.5,+,INEI,I0535590,11/14/25 11:40,11/16/25 5:15,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,59.99,+,INEI,I0536004,12/1/25 12:14,12/3/25 12:22,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,14.48,+,INEI,I0536008,12/1/25 12:17,12/3/25 12:23,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,14.48,+,INEI,I0536008,12/1/25 12:17,12/3/25 12:23,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,167.12,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,33.63,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,31.38,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,10.46,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,10.46,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,10.46,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,26.92,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,26.92,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,29.98,+,INEI,I0536376,12/8/25 15:36,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,1499.98,+,INEI,I0536379,12/8/25 15:40,12/10/25 13:42,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,-749.99,-,INNC,I0536679,12/16/25 10:58,12/17/25 12:48,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,51.18,+,INEI,I0537088,1/6/26 12:56,1/14/26 5:41,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,32.28,+,INEI,I0537088,1/6/26 12:56,1/14/26 5:41,Amazon.com,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11302,Theatre Sound,A0,YTD,112.48,+,INEI,I0536996,1/5/26 15:55,1/7/26 23:47,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11301,Theatre Lighting,A0,YTD,112,+,INEI,I0535679,11/14/25 15:36,11/16/25 13:05,BMI Supply,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11301,Theatre Lighting,A0,YTD,56,+,INEI,I0535679,11/14/25 15:36,11/16/25 13:05,BMI Supply,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11301,Theatre Lighting,A0,YTD,98,+,INEI,I0535679,11/14/25 15:36,11/16/25 13:05,BMI Supply,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11301,Theatre Lighting,A0,YTD,96.07,+,INEI,I0536005,12/1/25 12:15,12/3/25 12:23,B&H Photo-Video,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,384.44,+,INEI,I0533439,9/23/25 23:59,9/24/25 11:01,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,93.87,+,INEI,I0533439,9/23/25 23:59,9/24/25 11:01,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,462.24,+,INEI,I0533439,9/23/25 23:59,9/24/25 11:01,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,51.72,+,INEI,I0533439,9/23/25 23:59,9/24/25 11:01,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,136.32,+,INEI,I0533439,9/23/25 23:59,9/24/25 11:01,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,25,+,INEI,I0533439,9/23/25 23:59,9/24/25 11:01,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
2026,2AC230,U001,11300,Theatre Scenic,A0,YTD,124.32,+,INEI,I0534446,10/14/25 10:27,10/14/25 15:01,Curtis Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
